time_ms,voltage_mV,input_current_nA,spike
0.005,-64.97143007538642,0.7090438441424679,1
0.005,-64.97118268247597,0.7090438441424679,1
0.005,-64.9720730701885,0.7090438441424679,1
0.005,-64.9717620785,0.7090438441424679,1
0.005,-64.9724648599542,0.7090438441424679,1
0.005,-64.97271956761546,0.7090438441424679,1
0.005,-64.97158247457624,0.7090438441424679,1
0.005,-64.97249099839132,0.7090438441424679,1
0.005,-64.97218427983724,0.7090438441424679,1
0.005,-64.9715061543351,0.7090438441424679,1
0.005,-64.97243110966414,0.7090438441424679,1
0.005,-64.97223268211286,0.7090438441424679,1
0.005,-64.97198257647555,0.7090438441424679,1
0.005,-64.97112374063256,0.7090438441424679,1
0.005,-64.97187916826232,0.7090438441424679,1
0.005,-64.9722487776145,0.7090438441424679,1
0.005,-64.97198695456315,0.7090438441424679,1
0.005,-64.97184615476796,0.7090438441424679,1
0.005,-64.97157646618334,0.7090438441424679,1
0.005,-64.9723416657052,0.7090438441424679,1
0.005,-64.97246943029242,0.7090438441424679,1
0.005,-64.9715379428039,0.7090438441424679,1
0.005,-64.97200912367411,0.7090438441424679,1
0.005,-64.97284084664372,0.7090438441424679,1
0.005,-64.97184752434256,0.7090438441424679,1
0.005,-64.97225385898328,0.7090438441424679,1
0.005,-64.97190088456412,0.7090438441424679,1
0.005,-64.9720237638981,0.7090438441424679,1
0.005,-64.97253306729868,0.7090438441424679,1
0.005,-64.9725273994123,0.7090438441424679,1
